isolate,glucose_vv,experiment_repeat,well_id,time_s,OD,,,,,,
NCTC12156,1,1,A2,122400.6,1.028499961,,,,,,
NCTC12156,1,1,A3,122400.6,1.013399959,,,,,,
NCTC12156,1,2,A1,122400.6,0.770200014,,,,,,
NCTC12156,1,2,A2,122400.6,0.99150002,,,,,,
NCTC12156,1,2,A3,122400.6,0.968500018,,,,,,
NCTC12156,1,3,A1,122400.6,0.695900023,,,,,,
NCTC12156,1,3,A2,122400.6,1.119199991,,,,,,
NCTC12156,1,3,A3,122400.6,1.086599946,,,,,,
NCTC12156,1,1,A1,125999.7,0.669200003,,,,,,
NCTC12156,1,1,A2,125999.7,0.961700022,,,,,,
NCTC12156,1,1,A3,125999.7,0.967400014,,,,,,
NCTC12156,1,2,A1,125999.7,0.755299985,,,,,,
NCTC12156,1,2,A2,125999.7,0.979600012,,,,,,
NCTC12156,1,2,A3,125999.7,0.970099986,,,,,,
NCTC12156,1,3,A1,125999.7,0.676699996,,,,,,
NCTC12156,1,3,A2,125999.7,1.10619998,,,,,,
NCTC12156,1,3,A3,125999.7,1.083799958,,,,,,
NCTC12156,1,1,A1,129599.7,0.67809999,,,,,,
NCTC12156,1,1,A2,129599.7,0.961199999,,,,,,
NCTC12156,1,1,A3,129599.7,0.947700024,,,,,,
NCTC12156,1,2,A1,129599.7,0.748899996,,,,,,
NCTC12156,1,2,A2,129599.7,0.934700012,,,,,,
NCTC12156,1,2,A3,129599.7,0.907599986,,,,,,
NCTC12156,1,3,A1,129599.7,0.619400024,,,,,,
NCTC12156,1,3,A2,129599.7,1.116999984,,,,,,
NCTC12156,1,3,A3,129599.7,1.046599984,,,,,,
NCTC12156,1,1,A1,133199.8,0.658800006,,,,,,
NCTC12156,1,1,A2,133199.8,0.886799991,,,,,,
NCTC12156,1,1,A3,133199.8,0.903800011,,,,,,
NCTC12156,1,2,A1,133199.8,0.727199972,,,,,,
NCTC12156,1,2,A2,133199.8,0.899999976,,,,,,
NCTC12156,1,2,A3,133199.8,0.897599995,,,,,,
NCTC12156,1,3,A1,133199.8,0.604700029,,,,,,
NCTC12156,1,3,A2,133199.8,1.072999954,,,,,,
NCTC12156,1,3,A3,133199.8,0.997200012,,,,,,
NCTC12156,1,1,A1,136799.7,0.645200014,,,,,,
NCTC12156,1,1,A2,136799.7,0.861199975,,,,,,
NCTC12156,1,1,A3,136799.7,0.875500023,,,,,,
NCTC12156,1,2,A1,136799.7,0.71359998,,,,,,
NCTC12156,1,2,A2,136799.7,0.862800002,,,,,,
NCTC12156,1,2,A3,136799.7,0.846499979,,,,,,
NCTC12156,1,3,A1,136799.7,0.599099994,,,,,,
NCTC12156,1,3,A2,136799.7,1.086199999,,,,,,
NCTC12156,1,3,A3,136799.7,1.00150001,,,,,,
NCTC12156,1,1,A1,140399.7,0.658699989,,,,,,
NCTC12156,1,1,A2,140399.7,0.825699985,,,,,,
NCTC12156,1,1,A3,140399.7,0.806599975,,,,,,
NCTC12156,1,2,A1,140399.7,0.712499976,,,,,,
NCTC12156,1,2,A2,140399.7,0.834399998,,,,,,
NCTC12156,1,2,A3,140399.7,0.809899986,,,,,,
NCTC12156,1,3,A1,140399.7,0.585200012,,,,,,
NCTC12156,1,3,A2,140399.7,1.029500008,,,,,,
NCTC12156,1,3,A3,140399.7,0.952300012,,,,,,
NCTC12156,1,1,A1,143999.7,0.612299979,,,,,,
NCTC12156,1,1,A2,143999.7,0.783699989,,,,,,
NCTC12156,1,1,A3,143999.7,0.801699996,,,,,,
NCTC12156,1,2,A1,143999.7,0.691999972,,,,,,
NCTC12156,1,2,A2,143999.7,0.805199981,,,,,,
NCTC12156,1,2,A3,143999.7,0.77700001,,,,,,
NCTC12156,1,3,A1,143999.7,0.603500009,,,,,,
NCTC12156,1,3,A2,143999.7,0.973200023,,,,,,
NCTC12156,1,3,A3,143999.7,0.910000026,,,,,,
NCTC12156,1,1,A1,147599.7,0.58829999,,,,,,
NCTC12156,1,1,A2,147599.7,0.768999994,,,,,,
NCTC12156,1,1,A3,147599.7,0.782800019,,,,,,
NCTC12156,1,2,A1,147599.7,0.646700025,,,,,,
NCTC12156,1,2,A2,147599.7,0.808200002,,,,,,
NCTC12156,1,2,A3,147599.7,0.769299984,,,,,,
NCTC12156,1,3,A1,147599.7,0.567200005,,,,,,
NCTC12156,1,3,A2,147599.7,0.970000029,,,,,,
NCTC12156,1,3,A3,147599.7,0.878799975,,,,,,
NCTC12156,1,1,A1,151199.7,0.537800014,,,,,,
NCTC12156,1,1,A2,151199.7,0.757200003,,,,,,
NCTC12156,1,1,A3,151199.7,0.744799972,,,,,,
NCTC12156,1,2,A1,151199.7,0.607800007,,,,,,
NCTC12156,1,2,A2,151199.7,0.788100004,,,,,,
NCTC12156,1,2,A3,151199.7,0.74180001,,,,,,
NCTC12156,1,3,A1,151199.7,0.590900004,,,,,,
NCTC12156,1,3,A2,151199.7,0.900099993,,,,,,
NCTC12156,1,3,A3,151199.7,0.819899976,,,,,,
NCTC12156,1,1,A1,154799.7,0.517799973,,,,,,
NCTC12156,1,1,A2,154799.7,0.75029999,,,,,,
NCTC12156,1,1,A3,154799.7,0.715200007,,,,,,
NCTC12156,1,2,A1,154799.7,0.579400003,,,,,,
NCTC12156,1,2,A2,154799.7,0.758899987,,,,,,
NCTC12156,1,2,A3,154799.7,0.715799987,,,,,,
NCTC12156,1,3,A1,154799.7,0.564599991,,,,,,
NCTC12156,1,3,A2,154799.7,0.869199991,,,,,,
NCTC12156,1,3,A3,154799.7,0.797299981,,,,,,
NCTC12156,1,1,A1,158399.7,0.478500009,,,,,,
NCTC12156,1,1,A2,158399.7,0.711099982,,,,,,
NCTC12156,1,1,A3,158399.7,0.700699985,,,,,,
NCTC12156,1,2,A1,158399.7,0.555299997,,,,,,
NCTC12156,1,2,A2,158399.7,0.751100004,,,,,,
NCTC12156,1,2,A3,158399.7,0.713400006,,,,,,
NCTC12156,1,3,A1,158399.7,0.535399973,,,,,,
NCTC12156,1,3,A2,158399.7,0.828599989,,,,,,
NCTC12156,1,3,A3,158399.7,0.755299985,,,,,,
NCTC12156,1,1,A1,161999.7,0.460000008,,,,,,
NCTC12156,1,1,A2,161999.7,0.719799995,,,,,,
NCTC12156,1,1,A3,161999.7,0.701099992,,,,,,
NCTC12156,1,2,A1,161999.7,0.5097,,,,,,
NCTC12156,1,2,A2,161999.7,0.73180002,,,,,,
NCTC12156,1,2,A3,161999.7,0.691999972,,,,,,
NCTC12156,1,3,A1,161999.7,0.524600029,,,,,,
NCTC12156,1,3,A2,161999.7,0.806100011,,,,,,
NCTC12156,1,3,A3,161999.7,0.74180001,,,,,,
NCTC12156,1,1,A1,165599.6,0.415699989,,,,,,
NCTC12156,1,1,A2,165599.6,0.716000021,,,,,,
NCTC12156,1,1,A3,165599.6,0.682699978,,,,,,
NCTC12156,1,2,A1,165599.6,0.472299993,,,,,,
NCTC12156,1,2,A2,165599.6,0.731299996,,,,,,
NCTC12156,1,2,A3,165599.6,0.680599988,,,,,,
NCTC12156,1,3,A1,165599.6,0.50880003,,,,,,
NCTC12156,1,3,A2,165599.6,0.781899989,,,,,,
NCTC12156,1,3,A3,165599.6,0.707300007,,,,,,
NCTC12156,1,1,A1,169199.6,0.389999986,,,,,,
NCTC12156,1,1,A2,169199.6,0.704999983,,,,,,
NCTC12156,1,1,A3,169199.6,0.668200016,,,,,,
NCTC12156,1,2,A1,169199.6,0.430500001,,,,,,
NCTC12156,1,2,A2,169199.6,0.719600022,,,,,,
NCTC12156,1,2,A3,169199.6,0.679499984,,,,,,
NCTC12156,1,3,A1,169199.6,0.503199995,,,,,,
NCTC12156,1,3,A2,169199.6,0.74970001,,,,,,
NCTC12156,1,3,A3,169199.6,0.690299988,,,,,,
NCTC12156,1,1,A1,172799.6,0.36590001,,,,,,
NCTC12156,1,1,A2,172799.6,0.675700009,,,,,,
NCTC12156,1,1,A3,172799.6,0.651799977,,,,,,
NCTC12156,1,2,A1,172799.6,0.396299988,,,,,,
NCTC12156,1,2,A2,172799.6,0.704599977,,,,,,
NCTC12156,1,2,A3,172799.6,0.668200016,,,,,,
NCTC12156,1,3,A1,172799.6,0.4903,,,,,,
NCTC12156,1,3,A2,172799.6,0.752300024,,,,,,
NCTC12156,1,3,A3,172799.6,0.686500013,,,,,,
NCTC12156,0,1,G1,0,0.129899994,,,,,,
NCTC12156,0,1,G2,0,0.140599996,,,,,,
NCTC12156,0,2,G1,0,0.091700003,,,,,,
NCTC12156,0,2,G2,0,0.092500001,,,,,,
NCTC12156,0,3,G1,0,0.108199999,,,,,,
NCTC12156,0,3,G2,0,0.108199999,,,,,,
NCTC12156,0,1,G1,3600,0.087899998,,,,,,
NCTC12156,0,1,G2,3600,0.090300001,,,,,,
NCTC12156,0,2,G1,3600,0.088500001,,,,,,
NCTC12156,0,2,G2,3600,0.090899996,,,,,,
NCTC12156,0,3,G1,3600,0.106799997,,,,,,
NCTC12156,0,3,G2,3600,0.1074,,,,,,
